,wave_id,transcript,Speaker,Gender,Age_Range,Pronunciation_dialect
27831,a0480,Tom Spink has a harpoon.,2857,Male,Adult,American English
8496,a0198,Sometimes her dreams were filled with visions.,873,Male,Adult,American English
48975,rp-25,The actual primary rainbow observed is said to be the effect of,5014,Male,Adult,Australian English
22782,b0290,"He placed his paw on one, and its movements were accelerated.",2352,Male,Adult,American English
19581,b0375,Man could not conquer them.,2002,Male,Adult,Other
45575,a0009,"He turned sharply, and faced Gregson across the table.",4669,Male,Adult,American English
10429,a0435,What do you mean by this outrageous conduct.,1073,Male,Adult,American English
43444,a0459,There's too much of the schoolboy in me.,4454,Male,Adult,American English
13498,a0566,Dennin's hands were released long enough for him to sign the document.,1383,Male,Adult,European English
16112,b0372,Mr McVeigh told me about him.,1649,Male,Adult,American English
11115,a0113,I suppose you picked that lingo up among the Indians.,1142,Male,Adult,American English
24504,b0176,I'll see to poor Hughie.,2525,Male,Adult,American English
26372,a0276,Oolong Atoll was one hundred and forty miles in circumference.,2711,Male,Adult,American English
11330,b0174,Hatred and murder and lust for revenge they possessed to overflowing.,1163,Male,Adult,American English
13991,b0237,They just lay off in the bush and plugged away.,1434,Male,Youth,Indian English
50844,b0300,Does the old boy often go off at half-cock that way.,5202,Male,Adult,American English
26247,b0091,For a full half minute Jeanne looked at him without speaking.,2698,Male,Adult,American English
26050,rp-26,super-imposition of a number of bows.,2679,Male,Adult,American English
34808,a0015,It's the aurora borealis.,3582,Male,Adult,American English
30412,a0146,"Of course, that is uninteresting, she continued.",3120,Male,Adult,British English
39766,b0393,I was still weak from my prolonged immersion.,4083,Male,Adult,American English
28725,a0045,He moved away as quietly as he had come.,2950,Male,Adult,American English
50341,b0372,Mr McVeigh told me about him.,5152,Male,Adult,Australian English
21243,a0341,"Why, doggone you all, shake again.",2175,Male,Adult,Indian English
53586,b0286,The time was considered auspicious.,5478,Male,Adult,American English
23594,a0139,He told himself that as he washed himself and groomed his disheveled clothes.,2434,Male,Adult,Other
49937,e0154,How about Dad playing golf this week? What a difference!! I am so glad that he is doing better.,5111,Male,Adult,American English
21972,a0371,It issued a rate of forty two dollars a car on charcoal.,2253,Male,Adult,British English
19828,b0137,But this little defect did not worry him.,2027,Male,Adult,European English
4026,a0374,"But life's worth more than cash, she argued.",416,Male,Adult,American English
56435,a0434,A half a case of tobacco was worth three pounds.,5762,Male,Adult,American English
53663,a0170,There was none of the joy of meeting in his face.,5486,Male,Adult,New Zealand English
21081,a0274,And Raoul listened again to the tale of the house.,2158,Male,Youth,New Zealand English
11022,a0564,"Then it is as I said, Womble announced with finality.",1132,Male,Adult,Indian English
612,b0280,"Again the girls applauded, and Mrs Hall cried.",64,Male,Adult,European English
24095,b0254,At the same time spears and arrows began to fall among the invaders.,2484,Male,Adult,American English
9422,a0183,And the air was growing chilly.,968,Male,Adult,American English
22407,en-1017,since I put the treasure map in his lunch to find his present when he gets home.,2308,Male,Adult,American English
5408,b0356,He loved to play Chinese lottery.,556,Male,Adult,Indian English
47518,b0167,"A little before dawn of the day following, the fire relief came.",4864,Male,Youth,American English
35388,b0096,Within himself he called it no longer his own.,3640,Male,Adult,South African English
41726,b0401,I learned it myself in English ships.,4281,Male,Adult,Canadian English
50189,b0513,"He had plodded on for half an hour, when the hallucination arose again.",5137,Male,Adult,American English
31443,b0385,Last night he showed all the symptoms of coming down with pneumonia.,3225,Male,Adult,Canadian English
3257,b0216,"I wish you were more adaptable, Joan retorted.",335,Male,Youth,European English
23090,a0130,"She was his now, forever.",2383,Male,Adult,Other
49568,a0459,There's too much of the schoolboy in me.,5074,Male,Adult,American English
4157,a0541,The Warden with a quart of champagne.,429,Male,Adult,American English
31838,a0328,"The Fire People, like ourselves, lived in caves.",3266,Male,Youth,American English
40118,a0305,"They had no fixed values, to be altered by adjectives and adverbs.",4119,Male,Adult,European English
20802,b0203,A month in Australia would finish me.,2128,Male,Adult,Australian English
18852,a0328,"The Fire People, like ourselves, lived in caves.",1926,Male,Adult,American English
9075,a0090,The singing voice approached rapidly.,931,Male,Adult,Canadian English
5623,b0236,Oolong was two hundred and fifty miles from the nearest land.,579,Male,Adult,Other
47971,a0433,"To her the bridge was tambo, which is the native for taboo.",4911,Male,Youth,American English
15630,b0193,So was Packard's finish suicide.,1600,Male,Senior,American English
38518,a0383,"To his surprise, her answer was flat and uncompromising.",3958,Male,Adult,European English
15956,b0404,"Yes, and no, sir, was the slow reply.",1633,Male,Adult,British English
25141,a0073,"The promoter's eyes were heavy, with little puffy bags under them.",2587,Male,Adult,American English
35949,b0395,"I was beneath the water, suffocating and drowning.",3696,Male,Adult,South African English
49913,e0070,"As we discussed this morning, Greg, Gerry, and I spoke this morning. Greg will be getting back to us next week.",5109,Male,Adult,American English
53139,rb-01,Hand-held devices such as personal digital assistants and smartphones are quite small.,5433,Male,Adult,American English
19349,a0113,I suppose you picked that lingo up among the Indians.,1977,Male,Youth,Other
56704,b0455,His reward should have been peace and repose.,5789,Male,Adult,European English
36181,rp-13,The Greeks used to imagine that it was a sign,3720,Male,Adult,Other
55642,a0094,He had barely entered this when he saw the glow of a fire.,5682,Male,Adult,American English
41407,a0073,"The promoter's eyes were heavy, with little puffy bags under them.",4249,Male,Adult,American English
23520,b0253,The very opposite is true; they are discouraged vagabonds.,2426,Male,Adult,American English
45709,b0367,Any average young fellow can teach himself in a week.,4683,Male,Adult,American English
57792,a0025,I was about to do this when cooler judgment prevailed.,5898,Male,Adult,American English
12754,b0054,He understood the meaning of the look.,1308,Male,Adult,American English
51698,a0078,"Then, and at supper, he tried to fathom her.",5288,Male,Adult,Other
15067,a0325,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.,1543,Male,Youth,Australian English
47244,b0083,In it there was something that was almost tragedy.,4836,Male,Adult,American English
7465,a0308,His infernal chattering worries me even now as I think of it.,767,Male,Adult,Canadian English
3758,b0080,Tomorrow it will be strong enough for you to stand upon.,389,Male,Adult,European English
47297,a0440,"Yes, sir, I corrected.",4841,Male,Adult,British English
31908,b0507,Did I possess too much vitality.,3273,Male,Adult,American English
42728,a0081,What if she did not come to the rock.,4382,Male,Senior,American English
34150,a0372,"He saw only the effect in a general, sketchy way.",3499,Male,Adult,American English
9325,rp-27,"If the red of the second bow falls upon the green of the first,",959,Male,Adult,American English
35773,rp-03,The rainbow is a division of white light into many beautiful colors.,3678,Male,Adult,British English
19078,b0365,"My age, in years, is twenty two.",1949,Male,Adult,American English
25838,b0257,Tudor surveyed him with withering disgust.,2658,Male,Adult,American English
35806,b0139,Together they ate the rabbit.,3681,Male,Adult,South African English
54729,a0521,Without them he could not run his empire.,5591,Male,Adult,British English
19588,b0215,"It is a good property, and worth more than that.",2003,Male,Youth,Indian English
5981,a0348,They only lifted seven hundred and fifty.,615,Male,Adult,Canadian English
18505,rb-12,especially since most of these devices often already have a built-in microphone.,1890,Male,Youth,American English
14190,a0590,In a way he is my protege.,1454,Male,Adult,American English
24071,a0015,It's the aurora borealis.,2481,Male,Adult,American English
8945,b0355,There was proper division of labor in the work they individually performed.,918,Male,Adult,American English
4483,a0580,This is my fifth voyage.,463,Male,Adult,Indian English
39720,b0526,"Thirty pounds, said the captain with finality.",4079,Male,Adult,American English
15197,a0203,They were following the shore of a lake.,1556,Male,Adult,Other
29565,a0272,You can take a vacation on pay.,3035,Male,Adult,European English
30066,b0033,How does your wager look now.,3086,Male,Adult,New Zealand English
7203,b0332,"As to how she dressed, he had no ideas at all.",740,Male,Adult,European English
5567,b0439,The land exchanged its austere robes for the garb of a smiling wanton.,572,Male,Youth,European English
38521,a0027,To my surprise he began to show actual enthusiasm in my favor.,3959,Male,Adult,European English
40777,b0382,I defy any man to get a Solomon Island sore in California.,4185,Male,Youth,British English
4811,b0038,In her haste to get away she had forgotten these things.,496,Male,Adult,American English
50222,b0469,Very few people knew of the existence of this law.,5140,Male,Adult,European English
26893,b0036,"He wondered, too, where Roscoe was.",2763,Male,Adult,American English
18073,a0585,"Wonder if he's a lion dog, Charles suggested.",1846,Male,Youth,Indian English
15318,b0351,"Matthewson, who's this bookkeeper, Rogers.",1569,Male,Youth,Canadian English
38889,a0593,She'd make a good wife for the cashier.,3995,Male,Adult,American English
51110,b0056,"I'll give a thousand if you produce her, retorted Gregson.",5229,Male,Adult,American English
24550,a0015,It's the aurora borealis.,2529,Male,Youth,Australian English
10327,a0348,They only lifted seven hundred and fifty.,1062,Male,Adult,American English
18294,a0239,He cried in such genuine dismay that she broke into hearty laughter.,1869,Male,Adult,Australian English
15186,b0374,"To say the least, Captain Cook was a rather thorough going empiricist.",1555,Male,Youth,Indian English
8875,b0420,"On occasion, on this traverse, the Cape Verde Islands are raised.",911,Male,Adult,American English
15894,b0220,"Harry Bancroft, Dave lied.",1627,Male,Adult,American English
24066,a0010,I'm playing a single hand in what looks like a losing game.,2481,Male,Adult,American English
29745,b0263,Only once did I confide the strangeness of it all to another.,3053,Male,Adult,Canadian English
41628,a0413,But I am at the end of my resources.,4271,Male,Adult,New Zealand English
17335,rp-02,they act as a prism and form a rainbow.,1773,Male,Adult,American English
48172,a0477,"Wada, Louis, and the steward are servants of Asiatic breed.",4931,Male,Youth,British English
11682,b0505,How valiantly I went at it that first day.,1199,Male,Adult,American English
51656,a0491,"And as in denial of guilt, the one-legged boy replied.",5284,Male,Adult,American English
42502,b0290,"He placed his paw on one, and its movements were accelerated.",4359,Male,Adult,American English
6373,a0147,A moment before he was intoxicated by a joy that was almost,657,Male,Adult,Other
39906,b0167,"A little before dawn of the day following, the fire relief came.",4097,Male,Youth,Other
41491,rp-21,but refraction by the raindrops which causes the rainbows.,4257,Male,Adult,American English
28922,a0070,He would first hunt up Gregson and begin his work there.,2970,Male,Senior,American English
14760,b0211,This is eighteen eighty.,1512,Male,Adult,American English
23039,e0058,Jonathan. Disregard that email. I am handling this.,2378,Male,Adult,American English
49603,a0213,Between him and the beach was the cane-grass fence of the compound.,5078,Male,Adult,American English
42402,a0178,Every bone in her aged body seemed broken or dislocated.,4349,Male,Adult,Canadian English
40724,a0488,Their love burned with increasing brightness.,4179,Male,Adult,American English
34570,a0168,Low bush whipped him in the face and left no sting.,3542,Male,Adult,Canadian English
39653,b0369,"You see, we were teaching ourselves.",4072,Male,Adult,British English
53459,b0461,By virtue of that power we shall remain in power.,5465,Male,Adult,American English
2756,b0330,They only had a little thirty thousand dollar fire.,284,Male,Youth,American English
32542,e0184,"In the west, several jointly owned transmission facilities exist.",3338,Male,Adult,American English
4001,b0347,But ever his gaze returned to that Crouched Venus on the piano.,413,Male,Youth,European English
52791,b0116,"I have hunted along this ridge, replied Philip.",5398,Male,Adult,American English
22074,a0375,The butchers and meat cutters refused to handle meat destined for unfair restaurants.,2265,Male,Youth,Indian English
26725,a0177,She had been thoroughly and efficiently mauled.,2747,Male,Adult,American English
8127,a0494,O'Brien took off his coat and bared his right arm.,835,Male,Adult,Other
22879,a0053,Suddenly his fingers closed tightly over the handkerchief.,2362,Male,Adult,American English
44676,a0475,"His outstretched arm dropped to his side, and he paused.",4578,Male,Adult,Australian English
17775,a0212,"Fresh cases, still able to walk, they clustered about the spokesman.",1817,Male,Adult,American English
29526,a0111,"Instead, he joined her; and they ate like two hungry children.",3031,Male,Adult,American English
34536,rp-27,"If the red of the second bow falls upon the green of the first,",3538,Male,Adult,Canadian English
11018,a0569,"At Lake Linderman I had one canoe, very good Peterborough canoe.",1132,Male,Adult,Indian English
19525,b0366,I forgot how easily I had taught myself from the printed page.,1995,Male,Adult,American English
14616,b0436,Famine had been my great ally.,1497,Male,Adult,British English
18020,b0300,Does the old boy often go off at half-cock that way.,1841,Male,Adult,Other
34514,a0452,"Three oilers and a fourth engineer, was his greeting.",3536,Male,Adult,Canadian English
10548,b0453,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",1085,Male,Adult,American English
55839,a0435,What do you mean by this outrageous conduct.,5702,Male,Adult,American English
55806,a0238,It happened to him at the Gallina Society in Oakland one afternoon.,5699,Male,Adult,American English
11647,a0053,Suddenly his fingers closed tightly over the handkerchief.,1196,Male,Adult,American English
57358,a0293,They were deep in the primeval forest.,5854,Male,Adult,British English
3077,b0448,Sandel would never become a world champion.,316,Male,Adult,British English
39244,a0063,"Yes, it was a man who asked, a stranger.",4031,Male,Adult,American English
24051,b0480,"Without discussion, it was the agents provocateurs who caused the Peasant Revolt.",2479,Male,Adult,British English
21213,b0046, produced a couple of cigars and took a chair opposite him.,2172,Male,Adult,Indian English
8270,a0463,"They are his tongue, by which he makes his knowledge articulate.",849,Male,Adult,Other
45298,b0336,"How old are you, mother.",4641,Male,Adult,British English
26306,b0477,You're going in for grab sharing.,2704,Male,Adult,American English
6787,a0369,"In partnership with Daylight, the pair raided the San Jose Interurban.",698,Male,Adult,American English
54780,b0514,Tomorrow or next day it might he gone.,5596,Male,Adult,British English
48269,a0214,"Besides, he was paid one case of tobacco per head.",4942,Male,Youth,Other
33862,rp-30,"This is a very common type of bow, one showing mainly red and yellow,",3470,Male,Adult,European English
35452,a0502,Anything unusual or abnormal was sufficient to send a fellow to Molokai.,3646,Male,Adult,British English
56091,a0274,And Raoul listened again to the tale of the house.,5727,Male,Adult,New Zealand English
11697,a0332,"Unconsciously, our yells and exclamations yielded to this rhythm.",1201,Male,Youth,American English
57853,b0136,Swiftly his eyes measured the situation.,5905,Male,Youth,Canadian English
30999,a0094,He had barely entered this when he saw the glow of a fire.,3181,Male,Adult,Canadian English
34903,a0424,"Obviously, it was a disease that could be contracted by contact.",3591,Male,Adult,European English
16974,a0222,What part of the United States is your home.,1736,Male,Adult,American English
2122,a0174,They were the presage of storm.,219,Male,Adult,British English
27178,b0251,They must have been swept away by the chaotic currents.,2792,Male,Adult,British English
23022,e0490,"Let me know if this tracks with others' memories. Best, Jeff.",2376,Male,Adult,American English
56115,a0237,So Hughie and I did the managing ourselves.,5730,Male,Adult,American English
41476,a0478,"Also, she has forbidden them smoking their pipes in the after-room.",4256,Male,Adult,American English
48437,en-0861,"Again, I don't believe this indicates any firm direction in the market,",4960,Male,Adult,British English
32061,a0493,"The boy, O'Brien, was specially maltreated.",3289,Male,Senior,Other
12023,a0329,"Ah, indeed.",1234,Male,Senior,American English
15521,ar-20,Arthur stood and watched them hurry away.,1589,Male,Youth,European English
55530,a0587,He had comparatively no advantages at first.,5671,Male,Adult,American English
25751,a0269,That's where they cut off the Scottish Chiefs and killed all hands.,2649,Male,Adult,American English
30708,a0536,He would destroy all things that are fixed.,3151,Male,Youth,Australian English
21927,a0280,I'll be out of my head in fifteen minutes.,2248,Male,Adult,Canadian English
6876,b0076,Before Philip could recover himself Jeanne's startled guards were upon him.,707,Male,Adult,European English
37630,e0201,"Keep these names, and I'll keep you posted on who to schedule with him.",3869,Male,Adult,American English
21060,rb-30,"might all be valid commands,",2156,Male,Youth,American English
40363,a0122,Two years ago I gave up civilization for this.,4143,Male,Adult,American English
31073,b0130,She saw the answer in his face.,3188,Male,Adult,Canadian English
18204,a0048,"He looked at the handkerchief more, closely.",1860,Male,Adult,American English
30420,a0122,Two years ago I gave up civilization for this.,3121,Male,Adult,Indian English
35223,a0571,He had forgotten to build a fire and thaw out.,3623,Male,Adult,South African English
52315,rp-31,with little or no green or blue.,5350,Male,Adult,American English
2036,a0377,This sound did not disturb the hush and awe of the place.,208,Male,Adult,Other
36821,rp-22,Many complicated ideas about the rainbow have been formed.,3785,Male,Adult,Indian English
47452,a0108,He waded into the edge of the water and began scrubbing himself.,4857,Male,Adult,American English
28819,a0347,They are greatly delighted with anything that is bright or giveth a sound.,2959,Male,Adult,American English
47017,a0010,I'm playing a single hand in what looks like a losing game.,4813,Male,Adult,European English
41891,b0423,"Also, at regular intervals, he would mutter.",4297,Male,Adult,British English
17026,a0421,"By golly, the boy wins.",1741,Male,Youth,European English
5022,a0390,I'll go over tomorrow afternoon.,517,Male,Adult,British English
913,b0275,But I did not enjoy it long.,94,Male,Adult,European English
22951,b0138,"And then, steadily, he began to chew.",2369,Male,Adult,European English
45095,a0201,"He cried, and swung the club wildly.",4620,Male,Adult,Indian English
33514,b0077,It is the nearest refuge.,3436,Male,Adult,European English
51834,a0577,"Once the jews harp began emitting its barbaric rhythms, Michael was helpless.",5302,Male,Adult,American English
26677,a0411,It will break our hearts and our backs to hoist anchor by hand.,2742,Male,Adult,American English
28135,b0075,"In that case he could not miss them, if he used caution.",2891,Male,Senior,British English
37326,b0088,"Until I die, he exclaimed.",3838,Male,Adult,American English
7466,a0313,Broken-Tooth yelled with fright and pain.,767,Male,Adult,Canadian English
21408,b0328,"Change chairs, Daylight commanded.",2192,Male,Adult,Other
46998,ar-13,We found a stone house where there is room for us all.,4812,Male,Adult,European English
38603,a0182,This time he did not yap for mercy.,3967,Male,Adult,European English
724,a0335,Red-Eye swung back and forth on the branch farther down.,75,Male,Adult,European English
44334,e0173,"hopefully, I am not too late. If so, just let me know who has copies and I can borrow theirs. Thanks.",4544,Male,Adult,Australian English
40155,a0333,This is no place for you.,4122,Male,Adult,American English
28856,b0227,Shorty turned to their employers.,2963,Male,Adult,American English
36426,e0246,"If there is anything that I can do to assist you with this process, please do not hesitate to contact me directly.",3745,Male,Adult,Indian English
14336,a0102,He will follow us soon.,1469,Male,Adult,American English
20478,a0548,"Also, churches and preachers I had never known.",2093,Male,Adult,Other
11632,a0248,I had been sad too long already.,1194,Male,Adult,British English
10485,a0418,The Portuguese boy crawled nearer and nearer.,1078,Male,Adult,American English
15538,a0354,Fresh meat they failed to obtain.,1591,Male,Adult,American English
28142,b0068,Only the chance sound had led him to observe them.,2891,Male,Senior,British English
38757,e0129,"Dan, what is the status of this deal? I hadn't heard anything for a few days, and I knew we were on a tight time frame.",3982,Male,Adult,European English
32007,b0160,It was over when he made his way through the ring of spectators.,3284,Male,Youth,Other
14763,b0203,A month in Australia would finish me.,1512,Male,Adult,American English
38857,b0167,"A little before dawn of the day following, the fire relief came.",3992,Male,Adult,European English
4799,b0492,Thus he turned the tenets and jargon of psychology back on me.,494,Male,Youth,American English
13317,b0275,But I did not enjoy it long.,1365,Male,Adult,Canadian English
46195,a0015,It's the aurora borealis.,4731,Male,Adult,American English
27617,a0479,"I tried to read George Moore last night, and was dreadfully bored.",2836,Male,Adult,American English
45259,b0406,How in hell did he know it was you in the dark.,4638,Male,Adult,Australian English
33319,a0006,"God bless 'em, I hope I'll go on seeing them forever.",3416,Male,Adult,European English
24215,a0497,King took every advantage he knew.,2496,Male,Adult,American English
29961,e0508,"Likely, they look at me like the friendly and tolerable neighborhood nerd who is there to take care of the troops.",3075,Male,Adult,American English
30532,a0039,The ship should be in within a week or ten days.,3132,Male,Adult,British English
39156,a0371,It issued a rate of forty two dollars a car on charcoal.,4022,Male,Adult,American English
30469,a0586,We don't see ourselves as foolish.,3126,Male,Adult,British English
51488,a0552,"Yet he dreams he is immortal, I argue feebly.",5267,Male,Adult,British English
24907,a0445,"The creative joy, I murmured.",2564,Male,Adult,British English
31448,rp-17,Others have tried to explain the phenomenon physically.,3226,Male,Adult,Canadian English
41625,a0406,And that was the last of Francois and Perrault.,4271,Male,Adult,New Zealand English
22102,b0216,"I wish you were more adaptable, Joan retorted.",2268,Male,Adult,American English
43057,b0184,Such things in her brain were like so many oaths on her lips.,4415,Male,Adult,British English
14588,a0455,"I obeyed, and a minute or two later they stood before him.",1495,Male,Adult,British English
254,a0198,Sometimes her dreams were filled with visions.,27,Male,Adult,Other
35660,a0148,Now these things had been struck dead within him.,3667,Male,Adult,American English
43106,b0115,For two hours not a word passed between them.,4420,Male,Adult,Indian English
45296,b0338,"It was unobtrusive, yet it was there.",4641,Male,Adult,British English
71,ar-02,"Whenever his friends asked him if he would like to go out with them,",8,Male,Adult,American English
22960,rp-31,with little or no green or blue.,2370,Male,Adult,British English
17359,b0020,He made no reply as he waited for Whittemore to continue.,1775,Male,Adult,American English
43006,a0305,"They had no fixed values, to be altered by adjectives and adverbs.",4410,Male,Adult,British English
11158,b0052,The flush was gone from her face.,1146,Male,Adult,American English
10595,a0406,And that was the last of Francois and Perrault.,1090,Male,Adult,British English
2571,a0529,"As I say, he had tapped the message very rapidly.",265,Male,Adult,American English
51293,a0183,And the air was growing chilly.,5248,Male,Adult,American English
10064,a0169,Suddenly Jeanne stopped for an instant.,1036,Male,Adult,American English
47488,b0069,Could the incident have anything to do with Jeanne and Pierre.,4861,Male,Youth,American English
32759,a0288,"Those are my oysters, he said at last.",3360,Male,Adult,European English
35445,rb-08,"the amount of available ""screen real-estate"".",3645,Male,Adult,British English
53473,b0116,"I have hunted along this ridge, replied Philip.",5467,Male,Adult,American English
10562,a0281,I do not blame you for anything; remember that.,1086,Male,Adult,American English
21335,a0089,The nightglow was treacherous to shoot by.,2184,Male,Adult,American English
21207,a0023,A combination of Canadian capital quickly organized and petitioned for the same privileges.,2171,Male,Adult,European English
11843,a0135,"I am going to surprise father, and you will go with Pierre.",1216,Male,Adult,American English
12647,a0340,It was like the beating of hoofs.,1297,Male,Adult,American English
3347,b0342,Each improvement makes the value of everything else pump up.,346,Male,Adult,Canadian English
10666,a0450,No man ate of the seal meat or the oil.,1097,Male,Adult,American English
30774,b0080,Tomorrow it will be strong enough for you to stand upon.,3157,Male,Youth,Canadian English
21159,b0302,"I pulled, suddenly, with all my might.",2166,Male,Adult,American English
51684,b0095,He heard a sound which brought him quickly into consciousness of day.,5287,Male,Adult,American English
2751,a0435,What do you mean by this outrageous conduct.,283,Male,Adult,American English
33391,a0036,She turned in at the hotel.,3423,Male,Adult,European English
11950,b0044,For a few moments he ate in silence.,1227,Male,Adult,Indian English
324,a0172,Gregson had left the outer door slightly ajar.,34,Male,Youth,European English
26744,rp-08,"When a man looks for something beyond his reach,",2748,Male,Adult,American English
35051,rp-18,Aristotle thought that the rainbow was caused by,3606,Male,Adult,European English
37232,e0034,Babushka cooked all our meals as well and she and I became close friends even though she spoke only Russian and I only English.,3829,Male,Adult,American English
45114,b0312,"Dig in; you're sure good, was Daylight's answer.",4623,Male,Youth,Indian English
53193,a0347,They are greatly delighted with anything that is bright or giveth a sound.,5439,Male,Adult,Australian English
28691,b0367,Any average young fellow can teach himself in a week.,2946,Male,Adult,American English
6657,b0399,"You were looking squeamish this afternoon, he began.",685,Male,Adult,American English
31861,a0187,Ahead of them they saw a glimmer of sunshine.,3268,Male,Youth,American English
22064,rb-33,When working on a powerful PC or laptop,2264,Male,Youth,Indian English
24584,rai0008,THROUGHOUT THE CENTURIES PEOPLE HAVE EXPLAINED THE RAINBOW IN VARIOUS WAYS,2533,Male,Adult,American English
13300,b0183,"No, I did not fall among thieves.",1364,Male,Adult,Canadian English
12118,a0381,My name's Ferguson.,1244,Male,Adult,American English
52402,b0448,Sandel would never become a world champion.,5359,Male,Adult,European English
23967,a0303,But they make the mistake of ignoring their own duality.,2471,Male,Adult,Canadian English
27768,b0451,You used to joyride like the very devil.,2851,Male,Adult,American English
39971,b0130,She saw the answer in his face.,4104,Male,Youth,American English
56449,a0404,Perrault found one with head buried in the grub box.,5763,Male,Adult,American English
55819,b0036,"He wondered, too, where Roscoe was.",5700,Male,Adult,American English
48781,a0268,Now go ahead and tell me in a straightforward way what has happened.,4995,Male,Adult,British English
11345,b0053,"That is why I am, am rattled, he laughed.",1165,Male,Adult,European English
45894,a0283,"The woman in you is only incidental, accidental, and irrelevant.",4701,Male,Adult,American English
201,rp-13,The Greeks used to imagine that it was a sign,22,Male,Adult,Other
23924,a0560,His mouth opened; words shaped vainly on his lips.,2467,Male,Adult,British English
13893,a0565,"With them were Indians, also three other men.",1424,Male,Adult,American English
3263,rb-33,When working on a powerful PC or laptop,336,Male,Adult,American English
31078,b0126,Blood was oozing slowly from the wounded man's right breast.,3188,Male,Adult,Canadian English
34169,a0337,"Encouraged by my conduct, Big-Face became a sudden ally.",3501,Male,Adult,American English
5286,a0391,But he reconciled himself to it by an act of faith.,543,Male,Adult,Indian English
51575,b0011,His eyes never took themselves for an instant from his companion's face.,5276,Male,Adult,American English
26759,a0153,MacDougall tapped his forehead suspiciously with a stubby forefinger.,2750,Male,Adult,American English
39908,a0466,"Captain West may be a Samurai, but he is also human.",4098,Male,Adult,American English
866,a0151,"And MacDougall was beyond the trail, with three weeks to spare.",89,Male,Adult,European English
47254,b0174,Hatred and murder and lust for revenge they possessed to overflowing.,4837,Male,Adult,American English
27830,a0473,The night was calm and snowy.,2857,Male,Adult,American English
44740,a0305,"They had no fixed values, to be altered by adjectives and adverbs.",4584,Male,Adult,American English
35763,b0482,Many other similar disconcerting omissions will be noticed in the Manuscript.,3677,Male,Adult,British English
11273,b0444,He did not know what went on in the minds of his superiors.,1158,Male,Adult,American English
1855,b0046,Philip produced a couple of cigars and took a chair opposite him.,189,Male,Senior,American English
24363,b0177,"Her gray eyes were flashing, and her lips were quivering.",2511,Male,Adult,British English
36451,e0229,thanks! would it be easier to read it to me over the phone so you don't have to type it tomorrow?,3748,Male,Adult,Indian English
56156,a0553,"I am writing these lines in Honolulu, Hawaii.",5734,Male,Adult,European English
41533,b0324,Not till the twentieth of May did the river break.,4261,Male,Adult,European English
49114,b0218,The issue was not in doubt.,5029,Male,Youth,American English
38895,b0061,"Something about it seemed to fascinate him, to challenge his presence.",3996,Male,Adult,Indian English
17551,a0205,From now on we're pals.,1794,Male,Senior,American English
37022,b0503,The scents of strange vegetation blew off the tropic land.,3806,Male,Adult,European English
37367,b0114,"He moved his position, and the illusion was gone.",3842,Male,Adult,American English
50038,a0234,"Why, the average review is more nauseating than cod liver oil.",5121,Male,Senior,British English
53974,b0368,Please do not think that I already know it all.,5515,Male,Adult,Canadian English
2009,a0589,I was sick once -- typhoid.,205,Male,Adult,American English
38924,b0049,"There was nothing more, except a large ink blot under the words.",3999,Male,Adult,British English
4826,b0194,"Joan cried, with shining eyes.",497,Male,Adult,European English
46265,b0103,"He lifted his eyes, and a strange cry burst from his lips.",4738,Male,Adult,American English
56837,b0173,To these he gave castor oil.,5802,Male,Adult,American English
25140,a0072,But who was Eileen's double.,2587,Male,Adult,American English
26747,a0197,"Such a dog the wise driver kills, or turns loose.",2749,Male,Adult,American English
29092,e0204,"That is, you are shortening or lengthening your investment horizon based on one's expectation of rates",2988,Male,Adult,Australian English
14819,b0416,I arose obediently and went down the beach.,1518,Male,Adult,American English
8022,rb-37,"like ""go up one folder"" ""open the folder University"" or ""open document thesis"".",824,Male,Adult,American English
19016,a0059,His immaculate appearance was gone.,1942,Male,Adult,European English
36973,a0149,For an instant he saw Pierre drawn like a silhouette against the sky.,3801,Male,Adult,European English
13955,b0015,They robbed me a few years later.,1430,Male,Adult,European English
52546,b0535,He read his fragments aloud.,5373,Male,Adult,European English
5045,b0224,But to culture the Revolution thus far had exhausted the Junta.,519,Male,Adult,European English
23625,b0367,Any average young fellow can teach himself in a week.,2437,Male,Adult,American English
23416,b0358,The temperature dropped to fifty below zero and remained there the whole trip.,2416,Male,Adult,American English
45476,b0272,These were merely stout sticks an inch or so in diameter.,4659,Male,Adult,American English
17700,a0554,"Jack London, Waikiki Beach, Honolulu, Oahu.",1809,Male,Adult,American English
48651,b0099,Fifty yards ahead of her were the first of the rocks.,4981,Male,Adult,American English
25633,a0533,"Dunham, can your boy go along with Jesse.",2636,Male,Adult,European English
13911,a0238,It happened to him at the Gallina Society in Oakland one afternoon.,1426,Male,Adult,American English
28328,a0308,His infernal chattering worries me even now as I think of it.,2910,Male,Senior,British English
38938,b0390,The voyage was our idea of a good time.,4000,Male,Adult,European English
35384,a0345,She was trying to pass the apron string around him.,3639,Male,Adult,South African English
25634,b0323,"Crickets began to chirp, and more geese and ducks flew overhead.",2637,Male,Adult,British English
33193,b0279,He gave one last snarl and slid from view among the trees.,3404,Male,Adult,European English
15730,b0274,From the source of light a harsh voice said.,1610,Male,Adult,American English
